abandon	abbandonato
abattoir	abbattere
abattoir	adatto
abbot	abbonato
abbot	abbottare
abbot	abbozzato
abdicate	abdicare
abdominal	addominale
abet	abietto
abigail	abbinabile
abigail	abrogabile
abjure	abusare
abl	abile
ablate	abbagliante
ablate	abile
abominate	abbinare
abominate	abbonare
abominate	abbondante
abomination	abbonato
aborigine	aborrire
aborigine	abortire
abort	abortire
abort	abortivo
abortion	abortire
abortion	abortivo
abotrite	abortire
abrogate	abrogativo
abseil	abile
abseiler	abile
absence	assente
absentee	abbiente
absentee	abilmente
absentee	assentare
absentee	assentire
absentee	assente
absolve	assolvere
absorption	assortito
abuse	abusare
abut	abusato
abutment	abilmente
abutment	acutamente
academical	accademico
academical	accademicamente
academician	accademico
academician	accademicamente
accede	accecare
accede	accodare
accede	accudire
accede	eccedere
accelerate	accentratore
accelerator	accentratore
accent	accanito
accent	accanto
accent	accentrare
accent	accentuare
accent	accentuato
accent	accidentale
accentuate	accentratore
access	accessibile
access	accessorio
accident	accentare
accident	eccedente
accident	occidentale
acclamation	accasato
accolade	accadere
accolade	acclamare
accolade	accludere
accolade	accodare
accolade	accollare
accolade	accollato
accolade	accorpare
accolade	accozzare
accolade	acculare
accolade	arcade
accolade	eccola
accommodate	accomandante
accommodate	accomodare
accompaniment	accanitamente
accomplishment	accogliente
accord	accorato
accordion	accessorio
accordion	accordato
accost	accasato
accost	accorato
accost	accorso
accost	accorto
accost	accusato
account	accanto
account	accomunare
account	accorto
accoutrement	acutamente
accredit	accordato
accredit	accreditare
accrete	accentrare
accrete	accentuare
accrete	accertare
accrete	accettare
accrete	accrescere
accrete	accreditare
accrete	acquirente
accrete	occorrente
accretion	accetto
accretion	accorato
accretion	accurato
accretion	acritico
accrue	acculare
accrue	accusare
accrue	acre
accumulator	accusatorio
accusation	accluso
accusation	accusatorio
accusation	arcuato
accuse	accluso
accuse	acculare
accuse	accusare
accuse	accusato
accuser	accluso
accuser	accusare
accustom	accasato
accustom	accluso
accustom	accusato
accustom	accusatorio
accustom	acustico
acer	acerbo
acetate	accertare
acetate	acquietare
acetylate	anelante
ache	acre
acid	acido
acid	acidulo
aconite	acconciare
acorn	adorno
acquaint	acuminato
acquaintance	acquirente
acquire	acre
acquire	acquirente
acquire	acuminare
acquirer	accudire
acquirer	acquietare
acquirer	acquifero
acquirer	acquirente
acquirer	acuire
acquirer	acuminare
acquiror	acqueo
acquiror	acquifero
acquit	acquietare
acre	acuire
acreage	acre
acrobat	acrobatico
acrobatic	acrobatico
acrobatic	aerobico
acrylic	acrilico
act	acuto
acte	acre
action	acetico
action	acido
action	acuto
activate	accattivante
activate	attivamente
activist	attivistico
actress	altresì
actual	attuale
actualise	attuale
actualize	attuale
actualize	attualizzare
actuate	accentuato
actuate	acutamente
actuate	aitante
actuate	attenuante
actuate	attuale
actuator	accentuato
actuator	acuminato
actuator	acuto
actuator	antiquato
actuator	astuto
acute	acqueo
acute	acuire
acute	acuto
adaptation	apatico
adaption	adamitico
adaption	adriatico
adaptor	adepto
adaptor	adulatorio
adatom	adatto
adatom	adeguato
adatom	adottato
adatom	amato
adder	addensare
adder	addietro
adder	ardere
addiction	additivo
addition	additivo
additive	addire
additive	additare
addle	addire
address	addire
address	addurre
adduce	addurre
adhere	adire
adhere	aderente
adhere	adescare
adhesin	adesivo
adhesion	adesivo
adhesive	adesivo
adio	adesivo
adjourn	adorno
adjure	adeguare
adjure	adire
adjure	adusare
adjust	aduso
administrate	amministrativo
administration	amministrativamente
admiral	addominale
admiral	adirare
admire	adirare
admirer	addormire
admirer	adempire
admirer	adempiere
admirer	adire
admirer	aderire
admit	adamitico
admit	adempito
admonition	ammonito
adolescent	adolescente
adoption	adottivo
adore	addossare
adore	adontare
adore	adorabile
adore	adornare
adornment	addormentato
adornment	aderente
adornment	adornare
adsorbent	assorbente
adulate	adulare
adulate	adulatorio
adulate	adulterino
adulate	adusare
adulate	anulare
adult	adulto
adulterate	adulare
adulterate	adulterare
adulterate	adultero
adulterer	adergere
adulterer	adultero
adulterer	adulterino
adultery	adulto
adultery	adulterino
advert	aderente
advertise	aderire
advertise	aderente
advertise	avvertire
advertiser	aderire
advertize	aderire
advertize	aderente
advertize	avvertire
advice	adire
advise	adire
advisor	adiposo
aerate	aereo
aerate	versante
aerial	feriale
aerial	peritale
aerial	seriale
aerobatic	acrobatico
aerobatic	aeronautico
aerobatic	aerostatico
aerosol	nervoso
aerosol	terroso
aerosol	verboso
aerotow	arrosto
afar	affare
affair	affabile
affair	affidare
affectation	affetto
affectation	affettivo
affiance	affiatare
affiance	affine
affiance	affrancare
affiliation	affilato
affiliation	affiliato
affine	affabile
affine	affascinare
affine	affezionare
affine	affiancare
affine	affilare
affine	affinare
affine	affine
affinity	affiliato
afflict	affaticato
afflict	affiliato
afflict	afflitto
afflict	affumicato
affliction	afflitto
afford	affogare
affront	afferente
affront	afro
african	africano
afro	afro
afro	agro
agate	agente
agate	agiato
agave	aggravare
agente	aderente
agente	agente
agente	agevolmente
agglomeration	agglomerare
agglomeration	agglomerato
aggravate	aggradare
aggravate	aggraffare
aggravate	aggravante
aggravate	aggravato
aggravate	aggraziare
aggravation	aggravante
aggravation	aggravato
aggression	aggressivo
aggression	agresto
aggressor	agresto
agister	agitare
agitate	abitato
agitate	agitato
agitation	abitato
agitation	abitativo
agitation	asiatico
agitator	abitato
agitator	abitativo
agnostic	agnostico
agnostic	agonistico
agonise	agonistico
agonist	agonistico
agree	aggregare
agronomist	agronomico
aider	ardere
aider	ridere
aileron	allegro
ailment	silente
alarm	alare
albanian	albino
albatross	alato
albatross	alberato
albatross	altro
albino	albino
albino	aldino
albino	algerino
albino	alido
albino	alieno
albino	alienato
albino	allibito
albino	alpino
alder	alludere
alder	ardere
alderman	alemanno
ale	alare
alert	alternato
algae	alacre
algae	aleggiare
algae	allagare
algae	allegare
algae	allignare
algae	allogare
alginate	aleggiare
alginate	alienare
alginate	arginare
aliase	albanese
alien	albino
alien	alieno
alien	almeno
alienate	adiacente
alienate	allucinante
alienate	altamente
alienate	altisonante
alienation	aleatorio
alienation	alieno
alienation	alleato
alienation	alternativo
align	albino
align	aldino
alio	albino
alio	algido
alio	alido
alio	alieno
alio	almo
alio	alpino
alkane	alare
alkane	albanese
alkene	allenare
alledge	allegare
allegation	aleatorio
allege	allegato
allege	alludere
allege	illegale
allegiance	alleare
allegory	allegorico
allegory	allora
allele	allenare
allele	allevare
allele	illegale
allergen	allegare
allergen	allenare
allergen	allestire
allergen	allettare
allergen	allevare
allergen	allineare
allergen	alludere
allergy	allergico
alleviate	alleato
alleviate	allenare
alleviate	allettante
alleviate	alleviare
alligator	alato
alligator	allagare
alligator	allignare
alligator	allineato
alligator	allucinatorio
alligator	illibato
allocate	allattare
allocate	allocare
allocate	allogare
allocate	allora
allocator	alato
allocator	allocare
allocator	allogare
allocator	altolocato
allograft	allogare
allotment	altrimenti
allowance	allogare
allude	alludere
allude	allunare
allude	illudere
allurement	alacremente
allurement	allegramente
allusion	allusivo
allusion	illuso
alm	almo
almond	altronde
aloe	almo
aloe	alogeno
aloe	altrove
alpine	alienare
alpine	alpino
altar	alare
altar	allattare
altar	allertare
altar	allietare
altar	altercare
altar	altr
altarpiece	alitare
alter	altercare
alteration	aleatorio
altercation	alberato
altercation	alternato
altercation	alternativo
alternant	alberato
alternant	alterare
alternant	alternare
alternant	alternato
alternant	alternativo
alternant	alternativamente
alternant	attenuante
alternate	alternato
alternate	antenato
alternate	attenuante
alternation	alternativamente
alternative	alternato
alternator	aleatorio
alternator	alenare
alternator	alienato
alternator	alleato
alternator	alterare
alternator	alterato
alternator	antenato
alternator	attento
amalgamate	analogamente
amazon	amazzonico
amazona	amazzonico
ameliorate	amorale
american	americano
american	americanizzare
american	americanofilo
american	americanoide
americanism	americano
americanism	americanizzare
amerindian	americano
amine	amante
ammonite	ammoniacale
amo	amaro
amo	amato
amo	ambo
amo	ameno
amo	amico
amo	ampio
amortize	abortire
amortize	ammortare
amortize	ammortizzare
amortize	ammortizzabile
amount	ammonito
amp	ampio
amplification	amplificatore
amplification	applicativo
amputate	amante
amputate	ambulante
amputate	amputare
amputate	amputabile
amputate	impuntare
amputate	imputare
amputee	amputare
amputee	amputabile
amulet	amletico
anachronism	anacronistico
anaesthetic	antiestetico
anaesthetise	anestetico
anaesthetize	anestetico
anagram	anagrafico
analgesic	anale
analgesic	analgesico
analgesic	angelico
analgesic	animalesco
analogize	anale
analogize	analizzare
analogize	analogo
analogize	analogico
analogy	analogico
analyte	ansante
analyze	anale
anatomist	anatomico
anatomy	anatomico
anatomy	animato
ancestor	acceso
ancestor	ancestrale
ancestor	ancora
anchise	anche
anchise	ancien
anchor	anche
anchor	ancora
anchorage	anche
anchorage	ancora
anchorage	ancorare
anchorage	anormale
ancient	ancien
ancient	antivento
ancient	incinto
ancient	incipiente
ancillary	ancillare
ander	andare
ander	under
androgen	antidroga
android	anarcoide
android	antropoide
anecdote	antecedente
anemone	anemico
anesthetise	anestetico
angel	angelico
angler	anale
anglian	anziano
anglican	angloamericano
anglican	anglomane
anglicise	anglicizzare
anglicize	angelico
anglophile	anglofilo
anglophone	anglofono
angstrom	angusto
anguish	english
animal	anale
animal	animare
animal	animalesco
animal	animato
animal	anomalo
animal	anormale
animal	ansimare
animate	andante
animate	animare
animate	animalesco
animate	animato
animate	animatamente
animate	anti-Amato
animate	anti-Gates
animate	antistante
animation	animato
animation	annoiato
animation	antipatico
animation	asiatico
animator	agiato
animator	animato
animator	annoiato
animator	ansimare
animator	anti-Amato
animator	antiquato
animosity	animoso
animosity	antimostro
anion	andino
ankle	anale
anklet	anale
annal	annuale
anneal	annegato
anneal	annuale
annexation	annegato
anniversary	annoverare
annotation	annonario
annotation	antartico
annoy	annuo
annual	annuo
annual	annuale
annual	annualmente
annual	annullabile
annual	annusare
annuity	annuire
annul	annuo
annul	annuale
anoint	annoiato
anoint	anodino
anorak	ancora
anorak	ancorare
anorak	anormale
antagonise	antagonistico
antagonism	anonimo
antagonism	antimaoismo
antagonist	antimaoista
antagonist	antisionista
antare	annotare
antare	astrarre
anteater	anelante
anteater	annettere
anteater	antiaereo
antecedent	anticemento
antedate	antecedente
antelope	anticlone
antelope	antigelo
antenna	antenato
anthem	anche
anther	anche
anthia	anti-gas
anthia	anti-gay
anthill	antialcol
anthology	antologico
anthropologist	antropologico
antibiotic	anfibio
antibiotic	anti-balistico
antibiotic	anti-boia
antibiotic	antibiotico
antibiotic	antidebiti
antibody	anti-boia
antibody	antiarabo
antibody	antiserbo
antic	analitico
antic	anatomico
antic	antartico
antic	anti-Dc
antic	anti-rock
antic	antico
antic	anticlone
antic	antirock
antic	antropico
antic	artico
antic	autentico
anticipate	anticamente
anticipation	anti-partito
anticipation	antipatico
anticipation	atticciato
anticoagulant	anti-scalata
anticoagulant	anti-scalate
